hooktheory_id,url,title,artist,bpm,key_tonic,mode,genre,chord_complexity,melodic_complexity,chord_melody_tension,chord_progression_novelty,chord_bass_melody
14754712,https://www.hooktheory.com/theorytab/view/miley-cyrus/bad-karma,Bad Karma,Miley Cyrus,,E,Major,,42,82,80,71,21
38289878,https://www.hooktheory.com/theorytab/view/miley-cyrus/bb-talk,BB Talk,Miley Cyrus,,A,Major,,54,35,45,86,36
11895947,https://www.hooktheory.com/theorytab/view/miley-cyrus/cant-be-tamed,Can't Be Tamed,Miley Cyrus,,B,Minor,,65,22,43,77,59
35936150,https://www.hooktheory.com/theorytab/view/miley-cyrus/clear,Clear,Miley Cyrus,,C,Major,,25,52,94,23,28
83800446,https://www.hooktheory.com/theorytab/view/miley-cyrus/easy-lover,Easy Lover,Miley Cyrus,,E,Minor,,37,14,29,39,16
84657428,https://www.hooktheory.com/theorytab/view/miley-cyrus/flowers,Flowers,Miley Cyrus,,A,Minor,,40,29,26,37,56
71399303,https://www.hooktheory.com/theorytab/view/miley-cyrus/fly-on-the-wall,Fly on the Wall,Miley Cyrus,,G,Minor,,60,7,8,21,46
31581706,https://www.hooktheory.com/theorytab/view/miley-cyrus/fu,FU,Miley Cyrus,,,,,34,21,25,71,24
5337365,https://www.hooktheory.com/theorytab/view/miley-cyrus/gimme-what-i-want,Gimme What I Want,Miley Cyrus,,C,Minor,,20,53,52,12,96
73023704,https://www.hooktheory.com/theorytab/view/miley-cyrus/golden-g-string,Golden G String,Miley Cyrus,,B,Major,,18,44,40,30,73
96099043,https://www.hooktheory.com/theorytab/view/miley-cyrus/good-and-broken,Good and Broken,Miley Cyrus,,,,,32,25,52,61,33
11493991,https://www.hooktheory.com/theorytab/view/miley-cyrus/goodbye,Goodbye,Miley Cyrus,,,,,,,,,
4869776,https://www.hooktheory.com/theorytab/view/miley-cyrus/he-could-be-the-one,He Could Be the One,Miley Cyrus,,E,Major,,58,16,92,87,13
89802997,https://www.hooktheory.com/theorytab/view/miley-cyrus/jaded,Jaded,Miley Cyrus,,E,Major,,5,69,68,14,18
11218487,https://www.hooktheory.com/theorytab/view/miley-cyrus/jolene,Jolene,Miley Cyrus,,C,Minor,,17,43,12,3,37
38526123,https://www.hooktheory.com/theorytab/view/miley-cyrus/lets-dance,Let's Dance,Miley Cyrus,,,,,28,21,28,38,28
84346366,https://www.hooktheory.com/theorytab/view/miley-cyrus/lifes-what-you-make-it,Life's What You Make It,Miley Cyrus,,,,,24,18,90,49,27
63537005,https://www.hooktheory.com/theorytab/view/miley-cyrus/malibu,Malibu,Miley Cyrus,,,,,36,13,26,52,38
31780136,https://www.hooktheory.com/theorytab/view/miley-cyrus/midnight-sky,Midnight Sky,Miley Cyrus,,E,Minor,,28,73,70,24,64
93937080,https://www.hooktheory.com/theorytab/view/miley-cyrus/more-to-lose,More to Lose,Miley Cyrus,,G,Major,,56,27,54,64,70
97037875,https://www.hooktheory.com/theorytab/view/miley-cyrus/nobodys-perfect,Nobody's Perfect,Miley Cyrus,,,,,35,69,65,69,42
91448520,https://www.hooktheory.com/theorytab/view/miley-cyrus/nothing-breaks-like-a-heart,Nothing Breaks Like A Heart,Miley Cyrus,,G,Minor,,14,39,53,19,64
59829199,https://www.hooktheory.com/theorytab/view/miley-cyrus/old-blue-jeans,Old Blue Jeans,Miley Cyrus,,,,,36,59,85,32,45
39206882,https://www.hooktheory.com/theorytab/view/miley-cyrus/ordinary-girl,Ordinary Girl,Miley Cyrus,,G,Major,,60,85,76,52,68
65482955,https://www.hooktheory.com/theorytab/view/miley-cyrus/river,River,Miley Cyrus,,E,Major,,11,37,89,44,83
14831455,https://www.hooktheory.com/theorytab/view/miley-cyrus/rock-star,Rock Star,Miley Cyrus,,,,,29,37,90,36,37
82552796,https://www.hooktheory.com/theorytab/view/miley-cyrus/see-you-again,See You Again,Miley Cyrus,,C,Major,,8,61,57,24,37
86886228,https://www.hooktheory.com/theorytab/view/miley-cyrus/slide-away,Slide Away,Miley Cyrus,,,,,55,32,84,83,32
50535504,https://www.hooktheory.com/theorytab/view/miley-cyrus/something-beautiful,Something Beautiful,Miley Cyrus,,,,,89,46,39,87,49
71723589,https://www.hooktheory.com/theorytab/view/miley-cyrus/start-all-over,Start All Over,Miley Cyrus,,,,,68,58,31,74,95
29197019,https://www.hooktheory.com/theorytab/view/miley-cyrus/stay,Stay,Miley Cyrus,,C,Major,,48,59,59,49,35
93258953,https://www.hooktheory.com/theorytab/view/miley-cyrus/the-best-of-both-worlds-%28hannah-montana%29,The Best of Both Worlds (Hannah Montana),Miley Cyrus,,,,,14,47,75,10,50
53394294,https://www.hooktheory.com/theorytab/view/miley-cyrus/the-climb,The Climb,Miley Cyrus,,E,Major,,46,28,53,75,66
21352840,https://www.hooktheory.com/theorytab/view/miley-cyrus/used-to-be-young,Used To Be Young,Miley Cyrus,,E,Major,,44,17,85,85,0
61617084,https://www.hooktheory.com/theorytab/view/miley-cyrus/we-cant-stop,We Can't Stop,Miley Cyrus,,E,Major,,26,48,63,47,13
97484294,https://www.hooktheory.com/theorytab/view/miley-cyrus/we-got-the-party,We Got the Party,Miley Cyrus,,,,,35,46,88,23,30
99903107,https://www.hooktheory.com/theorytab/view/miley-cyrus/week-without-you,Week Without You,Miley Cyrus,,G,Major,,24,20,58,30,14
33643271,https://www.hooktheory.com/theorytab/view/miley-cyrus/wrecking-ball,Wrecking Ball,Miley Cyrus,,,,,48,18,26,57,14
83761969,https://www.hooktheory.com/theorytab/view/miley-cyrus/wtf-do-i-know,WTF Do I Know,Miley Cyrus,,E,Minor,,23,36,71,28,56
6909587,https://www.hooktheory.com/theorytab/view/miley-cyrus/younger-now,Younger Now,Miley Cyrus,,,,,20,46,26,53,44
37518895,https://www.hooktheory.com/theorytab/view/selena-gomez/a-year-without-rain,A Year Without Rain,Selena Gomez,,,,,8,47,47,27,0
12290988,https://www.hooktheory.com/theorytab/view/selena-gomez/already-missing-you-%28feat-prince-royce%29,Already Missing You (feat Prince Royce),Selena Gomez,,,,,36,25,82,34,56
93051820,https://www.hooktheory.com/theorytab/view/selena-gomez/bad-liar,Bad Liar,Selena Gomez,,,,,43,82,70,56,72
53770531,https://www.hooktheory.com/theorytab/view/selena-gomez/baila-conmigo-%28feat-rauw-alejandro%29,Baila Conmigo (feat Rauw Alejandro),Selena Gomez,,D,Minor,,21,51,20,29,33
92777093,https://www.hooktheory.com/theorytab/view/selena-gomez/beat,BEAT,Selena Gomez,,,,,26,39,78,96,0
18035640,https://www.hooktheory.com/theorytab/view/selena-gomez/birthday,Birthday,Selena Gomez,,E,Minor,,14,34,64,20,42
49810558,https://www.hooktheory.com/theorytab/view/selena-gomez/boyfriend,Boyfriend,Selena Gomez,,,,,41,29,94,26,22
30657570,https://www.hooktheory.com/theorytab/view/selena-gomez/camouflage,Camouflage,Selena Gomez,,G,Major,,39,68,67,37,22
65921720,https://www.hooktheory.com/theorytab/view/selena-gomez/come-and-get-it,Come and Get It,Selena Gomez,,G,Minor,,29,23,87,45,70
51966121,https://www.hooktheory.com/theorytab/view/selena-gomez/de-una-vez,De Una Vez,Selena Gomez,,,,,58,59,71,69,73
68306366,https://www.hooktheory.com/theorytab/view/selena-gomez/feel-me,Feel Me,Selena Gomez,,D,Minor,,61,21,81,14,11
87618671,https://www.hooktheory.com/theorytab/view/selena-gomez/fetish-%28feat-gucci-mane%29,Fetish (feat Gucci Mane),Selena Gomez,,A,Minor,,22,47,92,36,13
17992792,https://www.hooktheory.com/theorytab/view/selena-gomez/forget-forever,Forget Forever,Selena Gomez,,,,,16,14,88,23,28
88277111,https://www.hooktheory.com/theorytab/view/selena-gomez/good-for-you,Good For You,Selena Gomez,,,,,20,45,83,10,87
71606195,https://www.hooktheory.com/theorytab/view/selena-gomez/hit-the-lights,Hit The Lights,Selena Gomez,,,,,44,67,35,41,56
53934415,https://www.hooktheory.com/theorytab/view/selena-gomez/i-cant-change-for-you-%28rare-outtake%29,I Cant Change For You (Rare Outtake),Selena Gomez,,A,Minor,,20,20,83,23,0
8966987,https://www.hooktheory.com/theorytab/view/selena-gomez/kinda-crazy,Kinda Crazy,Selena Gomez,,B,Minor,,,,,,
27267988,https://www.hooktheory.com/theorytab/view/selena-gomez/lose-you-to-love-me,Lose You To Love Me,Selena Gomez,,E,Major,,23,20,79,35,13
37944547,https://www.hooktheory.com/theorytab/view/selena-gomez/love-on,Love On,Selena Gomez,,D,Minor,,69,34,78,51,0
48834664,https://www.hooktheory.com/theorytab/view/selena-gomez/me-and-my-girls,Me and My Girls,Selena Gomez,,,,,44,37,73,56,78
58952989,https://www.hooktheory.com/theorytab/view/selena-gomez/me-and-the-rhythm,Me And The Rhythm,Selena Gomez,,F,Major,,75,41,47,48,50
10556530,https://www.hooktheory.com/theorytab/view/selena-gomez/my-mind-and-me,My Mind and Me,Selena Gomez,,A,Major,,56,80,89,60,54
39841847,https://www.hooktheory.com/theorytab/view/selena-gomez/rare,Rare,Selena Gomez,,F,Major,,32,31,59,64,53
11891184,https://www.hooktheory.com/theorytab/view/selena-gomez/rare-%28alexander-23-edit%29,Rare (Alexander 23 Edit),Selena Gomez,,F,Major,,19,41,86,35,90
25959642,https://www.hooktheory.com/theorytab/view/selena-gomez/round-and-round,Round and Round,Selena Gomez,,D,Minor,,62,7,35,64,96
17344727,https://www.hooktheory.com/theorytab/view/selena-gomez/same-old-love,Same Old Love,Selena Gomez,,B,Minor,,27,39,72,11,59
